NOM;REG;COD_PRO;COD_COM;NOM_COM;RURAL;LATITUD;LONGITUD
JARDIN INFANTIL KIMUN;9;91;9101;TEMUCO;0;-38,73495;-72,62531
COLEGIO LOS ROBLES;9;91;9101;TEMUCO;0;-38,76931;-72,742302
LICEO BICENTENARIO DE TEMUCO;9;91;9101;TEMUCO;0;-38,740372;-72,603043
ESCUELA DE PÁRVULOS MONTE SIÓN;9;91;9101;TEMUCO;0;-38,723557;-72,561424
COLEGIO DE ADULTOS HACIA UN NUEVO HORIZONTE;9;91;9101;TEMUCO;0;-38,739574;-72,58661
COLEGIO FOR LIFE;9;91;9101;TEMUCO;0;-38,756481;-72,656487
COLEGIO EL CASTILLO DE TEMUCO;9;91;9101;TEMUCO;0;-38,732189;-72,612758
ESCUELA DE LENGUAJE MUNDO NUEVO;9;91;9101;TEMUCO;0;-38,725497;-72,566914
ESCUELA ESPECIAL MONTE DE LOS OLIVOS;9;91;9101;TEMUCO;1;-38,72639241;-72,6198036
JARDIN INFANTIL MAGIC GARDEN;9;91;9101;TEMUCO;0;-38,739778;-72,596611
COLEGIO DE ADULTOS AGUILA REAL;9;91;9101;TEMUCO;0;-38,732986;-72,5916809
ESCUELA ESP. DE LENGUAJE AMANCAY;9;91;9101;TEMUCO;0;-38,774871;-72,765057
ESCUELA ESPECIAL DE LENGUAJE ILWEN;9;91;9101;TEMUCO;0;-38,768885;-72,743196
JARDIN INFANTIL TREE HOUSE;9;91;9101;TEMUCO;0;-38,742077;-72,637964
JARDÍN INFANTIL CREARE;9;91;9101;TEMUCO;0;-38,735904;-72,63791
CREARE 2;9;91;9101;TEMUCO;0; ; 
LUZ DE LUNA;9;91;9101;TEMUCO;0; ; 
JARDÍN INFANTIL COCOLICHE;9;91;9101;TEMUCO;0; ; 
LICEO PUBLICO BICENTENARIO DE EXCELENCIA CLAUDIO ARRAU LEON;9;91;9102;CARAHUE;0;-38,71265;-73,159981
ROMILIO ADRIAZOLA;9;91;9102;CARAHUE;0;-38,63176;-73,31395
COMPLEJO EDUCACIONAL DARÍO SALAS;9;91;9102;CARAHUE;0;-38,709;-73,140831
ESCUELA BASICA KIM RUKA;9;91;9102;CARAHUE;0;-38,71064;-73,155632
ESCUELA BASICA NEHUENTUE;9;91;9102;CARAHUE;0;-38,7444;-73,41185
ESCUELA TRANAPUENTE;9;91;9102;CARAHUE;1;-38,69252;-73,364281
ESCUELA BASICA EL CIRCO;9;91;9102;CARAHUE;1;-38,42516797;-73,12096482
ESCUELA MUNICIPAL DINAMARCA;9;91;9102;CARAHUE;1;-38,600609;-73,218613
ESCUELA BASICA LOS CORRALES;9;91;9102;CARAHUE;1; ; 
ESCUELA BASICA DINAMARCA, LUCERO;9;91;9102;CARAHUE;1;-38,564671;-73,202217
ESCUELA BASICA SANTA CELIA;9;91;9102;CARAHUE;1;-38,62933247;-73,19415472
ESCUELA BASICA PAILACOYAN;9;91;9102;CARAHUE;1;-38,782761;-73,190933
ESCUELA BASICA LAS DAMAS;9;91;9102;CARAHUE;1; ; 
ESCUELA VILLA LAS ARAUCARIAS;9;91;9102;CARAHUE;1;-38,491539;-73,24398
ESCUELA BASICA CAMAR;9;91;9102;CARAHUE;1; ; 
ESCUELA QUIRIPIO;9;91;9102;CARAHUE;1;-38,65095596;-73,23262985
ESCUELA CATRIPULLI;9;91;9102;CARAHUE;1;-38,84082;-73,150124
ESCUELA LAS MINAS;9;91;9102;CARAHUE;1; ; 
ESCUELA BASICA EL MANZANO;9;91;9102;CARAHUE;1;-38,609539;-73,135223
ESCUELA BASICA QUILLEN;9;91;9102;CARAHUE;1;-38,73870762;-73,12798157
ESCUELA BASICA CAMARONES;9;91;9102;CARAHUE;1;-38,55545;-73,170822
ESCUELA BASICA PUYANGUE;9;91;9102;CARAHUE;1;-38,658562;-73,394203
ESCUELA BASICA CHOMIO;9;91;9102;CARAHUE;1;-38,682621;-73,416809
ESCUELA CULLINCO;9;91;9102;CARAHUE;1;-38,677601;-73,254852
ESC. BASICA CARLOS PALMA LAFUENTE;9;91;9102;CARAHUE;1;-38,733372;-73,363487
ESCUELA BASICA EL PERAL;9;91;9102;CARAHUE;1;-38,634209;-73,281532
ESCUELA BASICA ALTO YUPEHUE;9;91;9102;CARAHUE;1;-38,521961;-73,412453
ESCUELA BASICA BAJO YUPEHUE;9;91;9102;CARAHUE;1;-38,548611;-73,47924
ESCUELA BASICA MATTE Y SANCHEZ;9;91;9102;CARAHUE;1;-38,53828;-73,350517
ESC. BASICA PROF.GUILLERMO SALGADO CARRILLO;9;91;9102;CARAHUE;1;-38,5923;-73,39895
ESCUELA BASICA CHANQUIN;9;91;9102;CARAHUE;1;-38,4242939;-73,21351662
ESCUELA BASICA LAS SELVAS;9;91;9102;CARAHUE;1; ; 
ESCUELA BASICA SAN JUAN DE TROVOLHUE;9;91;9102;CARAHUE;1;-38,57402219;-73,38358128
ESCUELA BASICA LOS LAURELES;9;91;9102;CARAHUE;1;-38,47836604;-73,37786248
ESCUELA AMULEY;9;91;9102;CARAHUE;1;-38,67437274;-73,3113887
ESCUELA BASICA COIPUCO;9;91;9102;CARAHUE;1; ; 
ESCUELA BASICA MACHACO CHICO;9;91;9102;CARAHUE;1;-38,66543168;-73,33395243
ESCUELA BASICA COI COI;9;91;9102;CARAHUE;1;-38,621891;-73,477928
ESCUELA BASICA COLICO;9;91;9102;CARAHUE;1;-38,69191;-73,158623
ESCUELA PARTICULAR MARANATTA;9;91;9102;CARAHUE;0; ; 
ESCUELA PARTICULAR ADVENTISTA;9;91;9102;CARAHUE;0;-38,62991;-73,314003
ESCUELA PARTICULAR EL COIGUE;9;91;9102;CARAHUE;1;-38,71576966;-73,18985275
