C_senatorial,Distrito,Comuna,C_electoral,Local,Mesa,Sexo,R_etario,Nacionalidad,Votantes
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,70-79,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,80+,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,20-29,ARGENTINA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,20-29,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,30-39,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,30-39,HAITI,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,40-49,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,50-59,CHILE,32
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,60-69,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,70-79,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,HOMBRES,80+,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,18-19,CHILE,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,20-29,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,30-39,CHILE,36
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,40-49,ARGENTINA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,40-49,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,40-49,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,50-59,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,60-69,CHILE,38
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,70-79,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,7,MUJERES,80+,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,20-29,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,30-39,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,40-49,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,50-59,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,60-69,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,70-79,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,HOMBRES,80+,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,18-19,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,20-29,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,30-39,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,40-49,CHILE,37
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,50-59,CHILE,33
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,60-69,CHILE,42
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,70-79,CHILE,36
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,8,MUJERES,80+,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,18-19,CHILE,7
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,20-29,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,30-39,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,30-39,COLOMBIA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,40-49,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,40-49,PERU,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,50-59,CHILE,33
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,60-69,CHILE,27
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,70-79,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,HOMBRES,80+,CHILE,8
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,18-19,CHILE,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,20-29,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,30-39,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,40-49,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,50-59,CHILE,34
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,60-69,CHILE,50
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,70-79,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,9,MUJERES,80+,CHILE,11
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,18-19,CHILE,5
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,20-29,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,30-39,CHILE,36
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,40-49,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,50-59,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,60-69,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,70-79,CHILE,13
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,HOMBRES,80+,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,18-19,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,20-29,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,30-39,CHILE,60
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,40-49,CHILE,32
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,40-49,ECUADOR,1
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,40-49,PERU,1
11,22,ANGOL,ANGOL,COLEGIO DIEGO DUBLE URRUTIA,26,MUJERES,50-59,CHILE,24
